Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Brent,Preston Park,Park,51.5710078,-0.3027973,4.4,0.6886848370234172,0.0,0.26666666666666666,0.7333333333333333,"Accessibility, Cleanliness, Maintenance, Aesthetics, General","maintained (18), parking (12), connected (9), tidy (9), beautiful (9), perfect (7), safe (3), walking (3)",364
Brent,Birchen Grove allotment,Park,51.56918940000001,-0.2589099,4.6,0.6286490559577942,0.0,0.6,0.4,"Cleanliness, General","good (12), excellent (9), clean (6), walking (3), great (3), parking (3)",21
Brent,King Edward VII Park,Park,51.55735569999999,-0.2968103999999999,4.4,0.6336278200149537,0.0,0.6,0.4,"Accessibility, Safety, Noise, Cleanliness, Atmosphere, Aesthetics, General","parking (18), safe (18), perfect (18), lovely (12), beautiful (9), clean (9), relaxing (9), great (9), calm (9), near (9), peaceful (6), noisy (3), walking (3), messy (3), tidy (3), good (3), roomy (3)",1820
Brent,Arena Square,Park,51.5582152,-0.2814921,4.5,0.5997205813725789,0.0,0.4666666666666667,0.5333333333333333,"Accessibility, Safety, Noise, Comfort, Atmosphere, Aesthetics, Traffic, General","great (18), beautiful (9), central (9), buzzing (9), busy (9), enjoyable (9), security (9), crowded (9), dark (9), pretty (9), amazing (6), messy (3), good (3), walking (3), safe (3), lighting (2)",153
Brent,Elvin Gardens Dog Run,Park,51.5595521,-0.2813682,3.3,0.5531772325436274,0.5,0.0,0.5,General,perfect (5),3
Brent,Elvin Gardens,Park,51.5597144,-0.2815867,4.9,0.7164049678378634,0.0,0.1111111111111111,0.8888888888888888,"Noise, Atmosphere, Maintenance, Aesthetics, Traffic, General","beautiful (15), parking (9), traffic (9), peaceful (9), new (9), great (9), safe (6), noisy (6), relaxing (3)",16
Brent,Wembley Park - Play Park,Park,51.5563382,-0.2826619,4.4,0.5866326709588369,0.0,0.6666666666666666,0.3333333333333333,"Safety, Atmosphere, Aesthetics, Traffic, General","good (21), pedestrian (9), busy (9), beautiful (9), amazing (6), parking (3), safe (3)",185
Brent,Union Park,Park,51.5579753,-0.2770363,4.2,0.5325947920481364,0.26666666666666666,0.3333333333333333,0.4,"Accessibility, Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (27), near (18), safe (15), peaceful (12), maintained (12), lovely (12), good (9), silent (9), calm (9), far (9), poor (9), serene (9), amazing (9), walking (9), risky (3), tidy (3), beautiful (3)",19
Brent,Monument display,Park,51.5564867,-0.2861615,5.0,0.5590381622314453,0.0,0.6666666666666666,0.3333333333333333,,,1
Brent,White Horse Square,Park,51.5547591,-0.284948,3.0,0.4707183043162028,0.0,1.0,0.0,,parking (3),2
Brent,Chalkhill Park,Park,51.5627264,-0.2735752,4.2,0.5998012483119964,0.0,0.5333333333333333,0.4666666666666667,"Comfort, Cleanliness, Maintenance, Traffic, Aesthetics, General","parking (18), good (18), clean (15), lovely (12), walking (10), pleasant (9), dirty (9), old (9), neat (9), great (9), bikes (3), safe (3)",282
Brent,Excellent Mage Service,Park,51.5640478,-0.2734692999999999,5.0,0.0,0.0,0.0,0.0,,,3
Brent,Bimal Regmi,Park,51.56667580000001,-0.2838582000000001,5.0,0.0,0.0,0.0,0.0,,,1
Brent,Chalkhill Orchard,Park,51.5610587,-0.2684448,4.6,0.649152047932148,0.0,0.3333333333333333,0.6666666666666666,"Traffic, Aesthetics, General","great (18), excellent (9), lovely (9), good (9), bikes (6), walking (3)",8
Brent,River Brent Walking Trail.,Park,51.5586273,-0.2678323,4.4,0.5490018725395203,0.0,0.75,0.25,"Comfort, Accessibility, General","good (27), bad (9), near (9), enjoyable (9), safe (3), walking (3), noisy (3)",8
Brent,Brent River Park,Park,51.54904029999999,-0.2696257,4.1,0.6672513882319132,0.13333333333333333,0.26666666666666666,0.6,"Accessibility, Comfort, Cleanliness, Maintenance, Traffic, General","parking (50), great (45), walking (15), pleasant (9), terrible (9), amazing (9), maintained (9), clean (9), excellent (9), safe (6), near (3), noisy (3), good (3), bikes (3)",117
Brent,Lyon Park Avenue Allotments,Park,51.546861,-0.2898547,4.8,0.7194522420565287,0.0,0.5,0.5,"Aesthetics, Noise, Atmosphere","beautiful (9), peaceful (9), serene (6), calm (3)",8
Brent,St. Raphael's Edible Garden,Park,51.5487911,-0.2670186000000001,5.0,0.6233557303746541,0.0,0.4,0.6,"Aesthetics, General","lovely (18), great (9), fantastic (9), beautiful (9), tidy (3)",13
Brent,OVO Arena Wembley,Point Of Interest,51.5581441,-0.2827548,4.3,0.6871686299641927,0.0,0.4,0.6,"Maintenance, Aesthetics, Safety, General","good (36), great (18), safe (12), fantastic (9), excellent (9), pretty (9), tidy (6), dark (6), dead (6), lively (3), bad (3), busy (3), cars (3), calm (3), cozy (3)",17120
Brent,London Designer Outlet,Shopping Mall,51.5569252,-0.2829943,4.3,0.601236472527186,0.0,0.5333333333333333,0.4666666666666667,"Accessibility, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","good (48), great (27), busy (21), easy (18), modern (18), enjoyable (9), vibrant (9), crowded (9), parking (9), chaotic (9), new (9), clean (9), pleasant (9), maintained (9), beautiful (9), lovely (6), safe (6), walking (3), tidy (3), near (3), relaxing (2)",22518
Brent,"BAPS Shri Swaminarayan Mandir, London",Hindu Temple,51.5475819,-0.2607827,4.8,0.7397914965947469,0.0,0.0,1.0,"Accessibility, Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","beautiful (30), good (12), parking (12), amazing (9), fantastic (9), maintained (9), peaceful (9), accessible (9), great (9), safe (3), noisy (3), roomy (3), tidy (3), cars (3)",6123
Brent,Wembley Stadium,Stadium,51.55602469999999,-0.2796177,4.6,0.6891149878501892,0.0,0.4,0.6,"Accessibility, Safety, Comfort, Cleanliness, Maintenance, General","great (45), good (33), easy (18), safe (15), clean (12), fantastic (9), amazing (9), damaged (9), maintained (9), comfortable (9), walking (6), crowded (6), shouting (3)",63499
Brent,Experiences by Wembley Stadium,Stadium,51.5566767,-0.2802862,4.5,0.6153172334035237,0.0,0.6,0.4,"Accessibility, Noise, Comfort, Atmosphere, General","great (36), quiet (9), excellent (9), easy (9), comfortable (9), amazing (9), safe (6), good (3), neat (3), near (3), new (3), attractive (3), walking (3), roomy (3), tidy (3)",310
